,wavelen,flux,flux_unc,mask
1696,4356.368531832623,8.952306312045307e-16,5.01805e-19,True
1697,4357.404000430399,8.995640761844557e-16,5.041249999999998e-19,True
1698,4358.439715149504,9.047356588843416e-16,5.084570000000001e-19,True
1699,4359.475676048441,9.096812900890616e-16,5.10917e-19,True
1700,4360.511883185714,9.207068947295963e-16,5.1517299999999995e-19,True
1701,4361.548336619871,9.258714461726778e-16,5.159619999999999e-19,True
1702,4362.585036409442,9.703875039303202e-16,5.20085e-19,True
1703,4363.621982612987,9.741661832068609e-16,5.039219999999999e-19,True
1704,4364.659175289075,9.601704319863483e-16,5.001400000000002e-19,True
1705,4365.696614496292,9.624984121264894e-16,4.90792e-19,True
1706,4366.734300293233,9.72416756629965e-16,4.86185e-19,True
1707,4367.772232738512,9.771606836738489e-16,4.91547e-19,True
1708,4368.810411890755,9.448516208139751e-16,4.847199999999999e-19,True
1709,4369.848837808602,9.35316446688297e-16,4.799219999999999e-19,True
1710,4370.887510550707,9.633164188919205e-16,4.90969e-19,True
1711,4371.9264301757285,9.804771633726137e-16,4.90931e-19,True
1712,4372.965596742366,9.987249242882432e-16,4.87523e-19,True
1713,4374.005010309299,1.0145418228338148e-15,4.8462200000000005e-19,True
1714,4375.044670935252,9.964770485459117e-16,4.8684799999999995e-19,True
1715,4376.08457867895,9.733852089040698e-16,4.83752e-19,True
1716,4377.124733599113,9.900808727389209e-16,5.027779999999999e-19,True
1717,4378.165135754502,1.0182090481340501e-15,4.960680000000001e-19,True
1718,4379.205785203882,1.0077070976758303e-15,4.931040000000001e-19,True
1719,4380.246682006034,9.726179364968961e-16,5.027049999999999e-19,True
1720,4381.28782621974,9.630734137856548e-16,5.01676e-19,True
1721,4382.329217903819,9.055601957460384e-16,4.95257e-19,True
1722,4383.370857117098,9.10245306533571e-16,5.048529999999999e-19,True
1723,4384.412743918406,9.417731374524391e-16,5.037769999999999e-19,True
1724,4385.454878366591,9.44005018904765e-16,5.034469999999998e-19,True
1725,4386.497260520519,1.0344843547737178e-15,4.910310000000001e-19,True
1726,4387.539890439063,1.0380741332674967e-15,4.92083e-19,True
1727,4388.582768181126,9.972243915250092e-16,4.827370000000002e-19,True
1728,4389.625893805589,9.94331814823345e-16,4.86946e-19,True
