# objname, z,  logstellar_mass_median, logstellar_mass_errup, logstellar_mass_errdown, sfr_100myr_median, sfr_100myr_errup, sfr_100myr_errdown, logssfr_100myr_median, logssfr_100myr_errup, logssfr_100myr_errdown, logzsol_median, logzsol_errup, logzsol_errdown, tau_dust_median, tau_dust_errup, tau_dust_errdown, avg_age_median, avg_age_errup, avg_age_errdown
AEGIS_13,1.3049,10.6668,10.7186,10.6130,27.5797,48.3471,20.3745,-9.2277,-8.9342,-9.3785,-0.1932,-0.0107,-0.3838,1.5256,1.6387,1.3251,2.3332,2.6073,2.0686
AEGIS_17,1.7499,10.5574,10.6116,10.5091,36.0981,43.4118,28.2314,-9.0063,-8.8901,-9.1345,-0.5424,-0.4097,-0.7122,1.4438,1.6055,1.2956,1.3044,1.5864,0.9056
AEGIS_19,1.0761,9.5103,9.5860,9.4313,1.9710,2.8833,1.3332,-9.2199,-8.9988,-9.4338,-0.3362,-0.1239,-0.5662,0.2180,0.3753,0.0977,2.4021,2.8717,1.6812
AEGIS_22,1.6570,9.2836,9.4430,9.1270,1.3458,3.1712,0.6451,-9.1295,-8.7967,-9.4841,-0.3362,0.0462,-1.0298,0.4972,0.9225,0.1484,1.7440,2.2839,1.2629
AEGIS_23,0.9595,8.3858,8.5312,8.2041,0.2428,0.6563,0.1475,-8.9724,-8.5159,-9.2775,-0.7338,-0.1915,-1.2874,0.3409,0.8297,0.1512,2.0535,2.8804,0.9751
AEGIS_24,0.8832,8.6194,8.7948,8.4144,1.0489,1.8686,0.4491,-8.5945,-8.3191,-8.8972,-0.0085,0.1364,-0.9609,0.9126,1.4469,0.6164,1.5469,2.1962,0.7102
AEGIS_27,0.6806,9.6716,9.7142,9.6112,2.0151,2.9348,1.3927,-9.3700,-9.1608,-9.5572,0.0782,0.1556,-0.0388,0.2816,0.3468,0.2023,3.8008,4.1165,3.3712
AEGIS_28,0.7626,8.8933,9.0602,8.7512,1.3215,1.7894,0.8995,-8.7678,-8.5610,-9.0241,-0.1858,0.0050,-0.4207,0.4236,0.5346,0.3144,1.1155,2.1427,0.5974
AEGIS_31,1.4620,9.5087,9.6492,9.3283,1.7407,3.1122,0.7883,-9.2721,-8.8730,-9.7424,-1.1500,-0.5941,-1.6539,0.3875,0.6222,0.2237,1.9392,2.4024,1.3013
AEGIS_37,2.3198,9.7861,9.8630,9.6919,3.1599,5.6128,1.7073,-9.3069,-8.9833,-9.5834,-0.5025,-0.0408,-0.9874,0.5224,0.7601,0.1828,1.2862,1.6230,0.9105
AEGIS_46,1.2171,10.6500,10.6814,10.6233,0.0390,0.1557,0.0023,-12.0607,-11.4570,-13.2804,-0.3310,-0.1561,-0.4902,0.4362,0.5546,0.3307,3.4361,3.8056,3.1985
AEGIS_48,0.6655,9.0843,9.2046,8.8926,0.6508,1.0162,0.3205,-9.2875,-8.8839,-9.6914,-0.3622,-0.0099,-0.8363,0.5394,0.6925,0.2276,2.9360,3.7867,1.8136
AEGIS_52,2.1005,9.2044,9.3036,9.0819,1.4946,3.1492,0.5348,-9.0259,-8.6473,-9.5289,-0.6045,-0.1554,-1.0348,0.1598,0.5019,0.0350,1.2399,1.6354,0.8584
AEGIS_53,0.6432,8.4106,8.5136,8.2884,0.4357,1.4308,0.2212,-8.7981,-8.2179,-9.0805,-0.8004,-0.4905,-1.3254,0.4523,1.1167,0.1701,2.7770,3.1066,1.2652
AEGIS_55,0.6970,9.0449,9.1210,8.9566,0.3509,0.5786,0.2513,-9.4996,-9.2145,-9.7081,-0.2067,0.0293,-0.4062,0.1875,0.3440,0.0700,2.9682,3.9230,2.3127
AEGIS_58,2.6975,9.4131,9.5655,9.2387,2.6249,4.9673,1.3725,-8.9972,-8.6060,-9.3427,-0.5363,-0.0812,-1.1315,0.2861,0.5616,0.1095,0.9950,1.3031,0.6274
AEGIS_59,2.8729,9.3990,9.5484,9.1973,4.5118,11.5431,1.6534,-8.6856,-8.2224,-9.2659,-0.2568,-0.0014,-0.7201,0.5090,0.9911,0.1164,0.9749,1.3552,0.4147
AEGIS_61,1.0774,9.2600,9.3379,9.1647,0.1324,0.6431,0.0129,-10.1499,-9.3882,-11.1875,-1.3868,-1.0074,-1.7446,1.1117,1.3306,0.8877,3.0494,3.7403,2.4435
AEGIS_63,1.2187,9.9313,9.9802,9.8798,3.5027,5.6479,2.4681,-9.3824,-9.1382,-9.5732,-0.1241,0.0160,-0.3332,0.2795,0.4733,0.1353,2.5236,2.8533,2.0674
AEGIS_70,1.0916,9.5727,9.6372,9.5016,1.6620,3.1490,1.2171,-9.3663,-9.0300,-9.5182,-0.5561,-0.3660,-0.7388,0.0627,0.1657,0.0217,2.2846,2.6825,1.7161
AEGIS_73,2.2613,9.9953,10.0633,9.8860,12.8386,20.0356,9.3568,-8.8904,-8.6216,-9.0887,-0.4459,-0.2043,-0.6433,0.5376,0.6563,0.3745,1.2862,1.4783,0.9379
AEGIS_82,0.5234,7.7616,8.0164,7.5550,0.2193,0.3108,0.1304,-8.4149,-8.1612,-8.8033,-0.9918,-0.7291,-1.3842,0.2280,0.3215,0.0790,1.8218,2.9839,0.7667
AEGIS_83,0.7250,9.8082,9.8448,9.7650,1.4208,1.8979,1.0820,-9.6530,-9.4904,-9.8058,-0.1479,0.0002,-0.3719,0.0905,0.1720,0.0371,3.4159,3.7970,3.0092
AEGIS_86,2.2949,10.0571,10.1160,9.9890,5.5737,9.7468,2.8732,-9.3048,-9.0232,-9.6386,-0.2834,0.0232,-0.5809,0.7957,0.9898,0.5505,1.5242,1.8580,1.2343
AEGIS_87,2.5730,9.6132,9.7033,9.5046,2.3077,3.1494,1.7309,-9.2539,-9.0428,-9.4286,-0.0882,0.0865,-0.2915,0.0574,0.1347,0.0177,1.5178,1.7622,1.2636
AEGIS_90,0.5693,8.7097,8.7904,8.6154,0.1105,0.2003,0.0599,-9.6765,-9.3605,-9.9644,-0.5905,-0.2936,-0.9713,0.2400,0.4464,0.0733,3.5961,4.3681,2.6807
AEGIS_91,0.9172,8.5761,8.7042,8.4089,0.3008,0.4940,0.1973,-9.0866,-8.7434,-9.3744,-0.1301,0.0808,-0.5895,0.2086,0.4333,0.0876,2.5167,3.1366,1.5046
AEGIS_92,1.6899,9.1055,9.1917,8.9286,0.7103,1.3122,0.4861,-9.2574,-8.9038,-9.4247,-1.3467,-0.8811,-1.6587,0.0388,0.1114,0.0108,1.6997,2.0767,1.0706
AEGIS_94,1.0846,8.9191,8.9859,8.8431,2.5620,3.1657,2.0024,-8.5135,-8.3794,-8.6384,-1.0034,-0.8423,-1.1259,0.0226,0.0457,0.0075,1.3844,1.6567,1.0887
AEGIS_96,1.7156,8.8795,9.1265,8.6699,1.7661,2.4062,1.2843,-8.6324,-8.3064,-9.0012,-0.2951,-0.0078,-1.0242,0.0358,0.0779,0.0113,1.1987,1.7053,0.4814
AEGIS_98,0.7894,8.7676,8.9165,8.6205,0.3957,0.6527,0.2591,-9.1928,-8.8717,-9.4134,-0.7381,-0.3459,-1.3639,0.1438,0.2891,0.0590,2.7513,3.4202,1.9364
AEGIS_103,2.5363,9.8949,10.0435,9.7117,19.5870,29.4641,13.2282,-8.5935,-8.2894,-8.9078,-0.3712,-0.0797,-0.5237,0.3423,0.4591,0.2217,0.7316,1.2048,0.3782
AEGIS_109,0.5414,8.4218,8.5548,8.2338,0.1389,0.2909,0.0596,-9.2848,-8.8036,-9.7426,-1.2440,-0.8091,-1.6865,0.2850,0.4422,0.1453,2.9353,3.9544,1.8978
AEGIS_110,0.6943,10.2940,10.3434,10.2585,0.0412,0.1262,0.0054,-11.7007,-11.1845,-12.5861,-0.1832,-0.0147,-0.4336,0.2925,0.4495,0.1634,4.0329,4.7679,3.6790
AEGIS_111,2.5006,9.5143,9.6927,9.2889,3.0863,6.9113,1.3826,-9.0068,-8.6065,-9.4134,-0.4668,-0.0421,-1.1031,0.4353,0.8232,0.1770,1.1323,1.4597,0.7149
AEGIS_115,0.5204,8.4981,8.5854,8.4018,0.0395,0.0643,0.0225,-9.9022,-9.6493,-10.1765,-0.9056,-0.5723,-1.3902,0.1182,0.2389,0.0358,4.0332,4.7633,3.0898
AEGIS_118,1.1963,8.8515,8.9986,8.6824,0.5828,0.8633,0.4132,-9.0788,-8.8182,-9.3159,-0.8323,-0.4627,-1.4627,0.0892,0.2700,0.0236,2.1740,2.8435,1.3035
AEGIS_120,2.8700,10.4926,10.5873,10.3729,49.4264,74.7339,23.9342,-8.7945,-8.5487,-9.1551,-0.2496,-0.0225,-0.4504,0.9359,1.1516,0.6241,0.9364,1.2888,0.6335
AEGIS_122,0.8608,8.7950,8.9068,8.6359,0.9328,1.2920,0.3467,-8.8078,-8.5797,-9.3193,-0.1320,0.0781,-0.5162,0.4197,0.7035,0.2043,2.2449,3.1122,1.4386
AEGIS_126,1.5689,8.9523,9.2275,8.7245,2.1419,3.0732,1.3098,-8.6151,-8.2740,-9.0649,-0.1040,0.0932,-0.5415,0.2614,0.4079,0.1355,1.2440,1.8811,0.5242
AEGIS_128,1.1888,9.6332,9.8077,9.4874,0.3072,1.2581,0.0323,-10.2019,-9.4962,-11.1805,-0.6520,-0.1159,-1.2771,0.7573,1.1530,0.4169,2.6670,3.3286,1.9919
AEGIS_130,1.3865,10.1979,10.2435,10.1465,5.2269,6.8880,3.8980,-9.4795,-9.3321,-9.6380,0.1130,0.1672,0.0482,0.5539,0.6728,0.4790,2.6573,3.1011,2.4842
AEGIS_135,0.7194,10.0110,10.0963,9.9198,0.1539,0.5372,0.0198,-10.8253,-10.2409,-11.7344,-0.2149,0.0441,-0.6303,0.4790,0.7516,0.2310,4.1092,5.0884,3.2355
AEGIS_138,0.5666,9.4623,9.5538,9.4186,0.5376,0.6588,0.3928,-9.7254,-9.6157,-9.9043,-0.5367,-0.3623,-0.6909,0.0273,0.0695,0.0072,4.1365,5.7463,3.7832
AEGIS_143,0.8536,8.8546,9.0299,8.6840,3.8396,5.4235,0.6891,-8.2699,-7.9775,-9.1435,-0.9249,-0.2886,-1.1344,0.7403,0.9536,0.1397,1.2583,2.9671,0.1528
AEGIS_145,0.7842,9.3602,9.4149,9.2006,1.3099,1.8934,1.0744,-9.2409,-8.9481,-9.3790,-0.3645,-0.2226,-0.4755,0.0974,0.1779,0.0496,2.9874,3.3622,2.1317
AEGIS_146,2.7813,9.8864,9.9704,9.7865,15.3314,19.2470,11.8470,-8.7001,-8.5176,-8.8820,-0.0744,0.0802,-0.3052,0.1613,0.2239,0.1044,0.9377,1.1571,0.7318
AEGIS_148,0.9332,8.9474,9.0332,8.8312,0.9445,1.3038,0.5815,-8.9691,-8.7212,-9.2563,0.0340,0.1164,-0.1176,0.1020,0.1876,0.0385,2.4097,2.9691,1.9416
AEGIS_149,0.7544,9.9507,10.0605,9.8452,0.1865,0.8091,0.0200,-10.6968,-9.9610,-11.7164,-0.9329,-0.2331,-1.3845,0.3384,0.5022,0.1481,3.7016,4.6178,2.7693
AEGIS_150,2.2508,9.2873,9.4268,8.9979,2.0762,3.4775,1.2757,-8.9591,-8.4984,-9.2759,-0.6676,-0.2293,-1.2681,0.1562,0.3081,0.0544,1.2571,1.5338,0.7573
AEGIS_151,0.6786,9.7375,9.7899,9.6755,2.7585,3.8232,1.8757,-9.3013,-9.1407,-9.4690,-0.1239,0.0640,-0.3662,0.5460,0.6670,0.4442,3.6327,3.9802,3.0680
AEGIS_155,1.1587,9.8937,9.9580,9.8034,6.2412,8.3443,4.5980,-9.1040,-8.8961,-9.2759,0.0393,0.1377,-0.0862,0.2296,0.3303,0.1314,2.3339,2.7015,1.8611
AEGIS_158,1.3380,8.4106,8.8125,8.0463,1.1038,1.4058,0.8715,-8.3269,-7.9885,-8.8127,-0.0529,0.0832,-0.2529,0.5717,0.6758,0.4641,1.3426,1.9608,0.2060
AEGIS_160,0.5312,8.4961,8.5730,8.3718,0.1224,0.2154,0.0802,-9.3969,-9.0426,-9.6550,-0.0208,0.1205,-0.5028,0.1863,0.3758,0.0637,3.3653,3.8490,2.6165
AEGIS_161,2.7596,10.1617,10.2280,10.0231,12.6597,23.9118,8.6614,-9.0626,-8.6405,-9.2744,-0.1777,-0.0002,-0.3822,0.2659,0.4989,0.1433,1.2113,1.3918,0.8614
AEGIS_162,1.1555,8.8930,9.0074,8.7810,0.3080,0.5698,0.1739,-9.4032,-9.1225,-9.6804,-0.7578,-0.2719,-1.3638,0.1581,0.3899,0.0487,2.0830,2.7251,1.4413
AEGIS_164,2.1686,10.7919,10.8456,10.7218,129.9248,163.4305,95.9275,-8.6754,-8.5375,-8.8392,-0.2299,-0.1237,-0.3064,1.3516,1.5633,1.2206,1.0059,1.1525,0.7246
AEGIS_167,2.0934,9.4255,9.5028,9.3447,3.1631,4.1787,2.1968,-8.9236,-8.7261,-9.1345,-0.4402,-0.2531,-0.5833,0.0382,0.0863,0.0110,1.2625,1.5354,1.0578
AEGIS_173,2.3065,9.7548,9.9184,9.5485,30.7440,48.2233,9.1562,-8.3660,-8.0417,-8.6722,-1.2753,-0.8594,-1.5582,0.6402,0.7687,0.3593,0.5552,0.8763,0.2386
AEGIS_178,1.1463,8.4740,8.6464,8.2978,0.3434,0.5123,0.2102,-8.9258,-8.6272,-9.2986,-0.5095,-0.1296,-1.0372,0.0639,0.1571,0.0197,1.7483,2.5273,0.9336
AEGIS_180,0.9843,8.7640,8.9746,8.5193,1.7603,2.5182,1.2787,-8.4598,-8.2561,-8.7431,0.1240,0.1700,0.0601,0.5998,0.6999,0.4625,1.7701,2.5560,0.8057
AEGIS_181,0.9174,9.0958,9.1392,9.0467,0.4737,0.7702,0.3457,-9.4174,-9.1902,-9.5863,-0.0289,0.0960,-0.1697,0.0311,0.0825,0.0093,3.0090,3.3997,2.7073
AEGIS_183,0.6849,9.2772,9.3497,9.2060,0.5234,1.1966,0.3410,-9.5347,-9.2033,-9.7632,-0.4286,-0.1861,-1.0992,0.2485,0.6867,0.1003,3.5392,3.9098,3.0446
AEGIS_184,0.5457,8.4589,8.6113,8.2766,0.2222,0.3631,0.1438,-9.0956,-8.8257,-9.3611,-0.9632,-0.6782,-1.6296,0.2196,0.3403,0.0809,2.7244,3.9472,1.4949
AEGIS_185,2.3879,10.2985,10.3781,10.1680,27.4575,35.3622,18.4578,-8.8494,-8.6756,-9.0669,-0.0126,0.1238,-0.4183,0.8432,1.0335,0.6304,1.1642,1.3933,0.7240
AEGIS_186,1.8855,9.9553,10.0842,9.7988,4.6438,8.4099,2.1844,-9.3001,-8.9501,-9.6651,-0.5321,-0.0492,-1.0591,0.6964,0.9753,0.3616,1.6334,2.0349,1.1775
AEGIS_189,1.0748,9.0367,9.1098,8.9497,0.6101,0.7897,0.4661,-9.2477,-9.0682,-9.4297,-0.0612,0.0830,-0.2456,0.1071,0.1658,0.0532,2.4249,2.8565,1.9274
AEGIS_191,0.9807,8.4687,8.6315,8.2335,0.3195,0.6737,0.1724,-8.9273,-8.5249,-9.2938,-0.8511,-0.3441,-1.2687,0.4474,0.8532,0.2077,2.0309,2.6726,1.0524
AEGIS_192,1.0002,9.9244,9.9629,9.8877,2.3395,3.1010,1.7823,-9.5576,-9.4006,-9.6989,-0.1922,-0.0527,-0.3303,0.0534,0.1037,0.0180,3.0942,3.2997,2.8710
AEGIS_193,1.2402,9.3990,9.4852,9.2977,3.2340,6.5906,2.0799,-8.8727,-8.5159,-9.1323,-0.1836,0.0888,-0.7580,0.6630,1.0164,0.4102,1.9227,3.0364,1.0272
AEGIS_195,1.5610,10.9048,10.9449,10.8639,40.1359,47.3895,34.1731,-9.2987,-9.2019,-9.4001,-0.1737,-0.1119,-0.2567,1.3430,1.4411,1.2568,2.2896,2.5382,2.0540
AEGIS_198,2.8438,10.0486,10.2062,9.8702,34.6752,48.1713,25.4283,-8.4911,-8.2503,-8.7409,-0.2433,-0.1145,-0.3672,1.6302,1.8433,1.4428,0.7703,1.1200,0.4157
AEGIS_201,1.8153,10.1816,10.2745,10.1013,2.1548,4.7448,0.1160,-9.8475,-9.4328,-11.2100,-0.0541,0.1073,-0.3784,0.6649,0.8611,0.4722,1.8444,2.1989,1.4506
AEGIS_206,2.0482,9.2572,9.4424,8.9303,2.6266,7.1069,1.3678,-8.7276,-8.4116,-9.0848,-0.7809,-0.1411,-1.4910,0.2415,0.9064,0.1050,1.0649,1.5915,0.6535
AEGIS_209,1.4393,10.8675,10.9047,10.8315,31.1314,37.4794,24.4495,-9.3812,-9.2744,-9.4971,0.1423,0.1763,0.0907,1.1925,1.2815,1.1244,2.6157,2.9910,2.3016
AEGIS_212,2.9956,9.7600,9.9291,9.5331,15.5941,27.8005,9.5252,-8.5251,-8.2195,-8.8484,-1.1742,-0.6247,-1.6362,1.3983,1.6784,1.1287,0.7217,1.0127,0.3468
AEGIS_213,0.8859,8.5677,8.8468,8.2325,0.5692,0.8400,0.3817,-8.8084,-8.3732,-9.2098,-0.1063,0.1204,-0.8559,0.6576,1.0098,0.4940,1.8279,2.8589,0.7330
AEGIS_216,1.8228,9.4854,9.5948,9.3512,0.7961,1.7437,0.2776,-9.5999,-9.1437,-10.1342,-1.1519,-0.5674,-1.5777,0.3345,0.5762,0.1865,1.7087,2.1464,1.1890
AEGIS_220,2.8960,9.8066,9.8850,9.7081,4.7880,8.3531,2.8008,-9.1203,-8.8348,-9.3931,-0.7995,-0.4175,-1.1555,0.1666,0.3870,0.0528,0.9913,1.2229,0.7070
AEGIS_224,1.0162,8.9399,9.0925,8.7544,1.0389,4.2246,0.6180,-8.8599,-8.2303,-9.2628,-1.1679,-0.8274,-1.5787,0.1735,0.6530,0.0670,1.4951,2.4993,0.4260
AEGIS_225,0.8252,10.6759,10.7168,10.6361,6.0932,7.3201,4.8780,-9.8963,-9.8185,-9.9823,0.0985,0.1394,0.0675,0.6202,0.6778,0.5697,4.6568,5.1903,4.1733
AEGIS_228,0.6986,9.2606,9.3767,9.1546,1.0117,1.6131,0.7087,-9.2398,-9.0093,-9.4790,-0.8545,-0.4692,-1.2764,0.3369,0.4883,0.1723,3.2529,3.8473,2.4248
AEGIS_231,1.4091,9.0618,9.2028,8.8620,1.8830,2.6211,1.4732,-8.7931,-8.4793,-8.9697,-0.7917,-0.5688,-1.1920,0.0463,0.1036,0.0134,1.6357,2.1075,0.7295
AEGIS_232,0.6693,10.5057,10.5520,10.4899,0.3785,0.6005,0.1732,-10.9261,-10.7150,-11.3210,-0.1871,-0.1202,-0.2742,0.3871,0.4600,0.3314,4.7086,5.6071,4.6232
AEGIS_234,0.5726,9.0529,9.1218,8.9717,0.7060,2.0619,0.4484,-9.2188,-8.6835,-9.4541,-0.3772,-0.0780,-0.6203,0.0235,0.0558,0.0060,3.0234,3.4759,2.5759
AEGIS_236,2.2786,9.5884,9.6579,9.5056,1.5408,2.0195,1.2098,-9.3901,-9.2302,-9.5451,-0.1948,0.0711,-0.3367,0.0107,0.0301,0.0031,1.6845,1.9049,1.5393
AEGIS_242,2.2626,10.1537,10.2201,10.0810,7.3136,12.3489,3.6719,-9.2965,-9.0410,-9.6155,-0.3746,0.0330,-0.8754,0.3773,0.5348,0.2188,1.2639,1.4534,1.0061
AEGIS_243,1.1426,9.3807,9.4346,9.2872,0.3239,0.5297,0.2482,-9.8792,-9.5755,-10.0118,-0.0253,0.1030,-0.2128,0.1235,0.4289,0.0386,3.8469,4.4448,3.0803
AEGIS_245,2.8979,9.6137,9.8311,9.4235,11.8676,15.0783,9.8505,-8.5306,-8.3372,-8.7588,-0.6695,-0.4550,-1.0535,0.0788,0.1282,0.0432,0.6967,0.9504,0.4325
AEGIS_247,1.5631,8.9081,9.0050,8.7899,0.4369,0.9167,0.2432,-9.2646,-8.8434,-9.5871,-0.2162,0.0504,-0.6101,0.2052,0.4777,0.0494,1.7951,2.2640,1.3188
AEGIS_251,1.4225,10.6561,10.7199,10.6120,26.1198,31.4995,18.5438,-9.2314,-9.1300,-9.4486,-0.1699,-0.0565,-0.3117,1.2763,1.3685,1.1882,2.5804,3.1668,2.3561
AEGIS_259,2.7132,9.6822,9.8128,9.5538,35.2658,72.8362,12.0730,-8.0239,-7.9299,-8.6095,-1.3276,-0.2830,-1.5176,0.6644,0.7423,0.1575,0.1209,1.1071,0.0499
AEGIS_265,2.4293,10.2927,10.3846,10.1841,26.1537,33.4556,18.6440,-8.8737,-8.7016,-9.0643,-0.5636,-0.4010,-0.8824,0.6998,0.8197,0.5787,1.0056,1.1719,0.7127
AEGIS_266,1.5463,8.8763,8.9845,8.7181,0.9498,1.3673,0.7389,-8.8902,-8.5926,-9.0873,-0.4263,-0.2267,-0.6525,0.0390,0.1051,0.0113,1.7957,2.2238,1.2290
AEGIS_268,1.3371,8.7526,8.9031,8.5508,0.4363,1.0349,0.2659,-9.1047,-8.6344,-9.4167,-0.4471,0.0157,-1.1712,0.1607,0.4229,0.0481,2.0053,2.5720,1.1741
AEGIS_270,0.5678,9.0065,9.0834,8.9176,0.6987,2.0297,0.5176,-9.1562,-8.6248,-9.3508,-0.0063,0.1222,-0.2041,0.2696,0.5001,0.1916,1.8324,2.4810,1.1424
AEGIS_274,2.3365,9.4191,9.5418,9.1956,2.6067,6.0468,1.9161,-8.9604,-8.4417,-9.2064,-0.4891,-0.0380,-1.0719,0.1286,0.4018,0.0382,1.1320,1.4368,0.6562
AEGIS_281,0.6507,11.1464,11.1660,11.1258,0.1442,0.5477,0.0071,-11.9919,-11.4062,-13.2927,0.1385,0.1733,0.0919,0.6146,0.6596,0.5718,3.6414,3.8324,3.3940
AEGIS_282,0.7424,10.1457,10.1837,10.0681,0.2800,0.6409,0.1274,-10.7141,-10.2771,-11.0479,-0.0252,0.1257,-0.3443,0.7217,0.8458,0.5656,3.4972,3.9313,3.0729
AEGIS_283,0.6744,8.8058,8.9186,8.6643,0.5711,0.7739,0.4359,-9.0481,-8.8685,-9.1999,-0.4763,0.1220,-0.8230,0.6676,0.8962,0.2778,2.5742,3.4723,1.7153
AEGIS_288,0.8412,8.8526,8.9965,8.5477,0.4750,0.9461,0.2405,-9.1884,-8.6040,-9.6002,-0.5260,-0.1977,-0.9276,0.4230,0.6639,0.1990,2.2557,3.0622,1.0618
AEGIS_289,1.0472,9.9840,10.0194,9.9469,2.6772,3.5359,2.0556,-9.5561,-9.4205,-9.6939,-0.1925,-0.0713,-0.3559,0.0575,0.1479,0.0164,3.0839,3.3714,2.7919
AEGIS_290,1.6950,9.4912,9.5498,9.4367,1.8745,2.1437,1.6511,-9.2131,-9.1282,-9.3096,0.0271,0.1307,-0.1282,0.0146,0.0379,0.0043,1.9019,2.1080,1.7243
AEGIS_291,0.6303,8.0651,8.1893,7.8780,0.0492,0.0947,0.0263,-9.3683,-8.9738,-9.7183,-1.1957,-0.5950,-1.7026,0.1683,0.3796,0.0533,3.2186,4.0663,1.9104
AEGIS_292,0.5394,8.2003,8.3611,8.0899,0.1143,0.2317,0.0872,-9.1084,-8.8713,-9.3356,-0.4280,-0.0551,-1.1319,0.0840,0.2138,0.0236,3.3824,4.1435,2.8434
AEGIS_295,2.3654,9.6877,9.9519,9.2094,20.6483,38.6291,13.4102,-8.2770,-7.9721,-8.6069,-0.1731,0.0914,-0.7412,1.2588,1.6617,0.9611,0.5320,0.9679,0.0871
AEGIS_296,1.9806,11.0535,11.0774,11.0296,1.4074,2.1731,1.0347,-10.9028,-10.7056,-11.0433,-0.1338,-0.0420,-0.2481,0.0391,0.0803,0.0122,2.5408,2.7829,2.3060
AEGIS_297,2.4584,9.0867,9.2186,8.8767,2.3754,3.1112,1.8233,-8.7030,-8.4164,-8.8963,-1.1467,-0.5515,-1.5553,0.0324,0.0863,0.0098,0.7875,1.0275,0.4675
AEGIS_298,0.9748,8.7922,8.8932,8.6454,0.3001,0.4405,0.2002,-9.3233,-9.0314,-9.5406,-1.1312,-0.5448,-1.5712,0.0732,0.1801,0.0206,2.5942,3.2153,1.7199
AEGIS_316,2.4476,10.4923,10.5512,10.3747,22.2170,49.7198,14.8571,-9.1586,-8.6942,-9.3565,-0.0418,0.1083,-0.2309,0.5312,0.8536,0.4052,1.2692,1.3985,0.7991
AEGIS_318,0.8064,9.7787,9.8472,9.7251,1.2766,1.9813,0.9763,-9.6601,-9.4665,-9.8503,-0.0748,0.0816,-0.3838,0.6878,0.7986,0.5997,2.8113,3.7012,2.4634
AEGIS_319,1.8739,10.1262,10.2669,9.9740,64.4926,76.8813,55.5081,-8.2872,-8.1190,-8.4724,-0.2071,-0.1123,-0.3088,0.8963,0.9522,0.8133,0.6941,1.0828,0.3570
AEGIS_320,2.4605,10.2131,10.2487,10.1643,1.5501,1.9482,1.2993,-10.0251,-9.8973,-10.1150,0.1633,0.1825,0.1262,0.0749,0.1338,0.0282,2.3675,2.4382,2.1832
AEGIS_331,0.6813,8.7777,8.8839,8.6642,0.6683,1.1046,0.4798,-8.9606,-8.6923,-9.1386,0.0349,0.1370,-0.3152,0.2965,0.4050,0.1894,2.0725,2.8303,0.8860
AEGIS_333,0.9203,8.2225,8.4279,8.0654,0.9720,1.1671,0.7337,-8.2501,-8.0098,-8.5290,0.1522,0.1799,0.0944,0.6177,0.6912,0.5274,1.6062,2.5854,0.5319
AEGIS_334,1.2093,10.6038,10.6546,10.5519,31.6003,36.2191,27.0400,-9.1039,-9.0040,-9.2065,0.1167,0.1630,0.0508,1.6936,1.7644,1.6214,2.4217,2.6193,2.1864
AEGIS_335,0.7572,9.6104,9.6651,9.5234,4.0007,5.2167,3.1362,-9.0175,-8.8232,-9.1501,-0.2099,-0.0886,-0.3948,0.0587,0.0913,0.0291,2.3883,2.6840,1.9344
AEGIS_339,1.3809,8.6400,8.7272,8.5199,0.2085,0.2924,0.1664,-9.3117,-9.0991,-9.4793,-0.9485,-0.5831,-1.2949,0.0239,0.0756,0.0065,2.2522,2.5156,1.8371
AEGIS_341,2.2617,9.6999,9.8767,9.5353,12.0786,20.3483,7.6298,-8.6622,-8.2225,-8.9665,-0.5250,-0.3620,-0.8283,0.1283,0.1802,0.0711,0.8564,1.2096,0.5073
AEGIS_342,1.2452,9.3575,9.4052,9.3048,1.2865,1.5563,1.0365,-9.2536,-9.1412,-9.3604,0.0859,0.1595,-0.0358,0.0659,0.1348,0.0186,2.5416,2.8031,2.2606
AEGIS_347,1.9521,9.7869,9.8737,9.6766,4.0723,6.1370,2.5166,-9.2123,-8.8855,-9.4351,-0.6597,-0.0869,-1.0489,0.1779,0.3099,0.0775,1.3968,1.6314,0.9505
AEGIS_348,2.3599,9.9275,10.0044,9.8138,10.4371,15.9476,6.5918,-8.9038,-8.6440,-9.1527,-0.2102,0.0812,-0.5720,0.8203,1.0201,0.6406,1.1339,1.3951,0.7962
AEGIS_352,1.3831,8.6171,8.7194,8.4609,1.0549,1.2410,0.8470,-8.5915,-8.4119,-8.7251,-1.6734,-1.4402,-1.8684,0.0395,0.0942,0.0101,1.2763,1.5964,0.8149
AEGIS_353,0.9772,8.4369,8.5666,8.2793,0.0883,0.1792,0.0495,-9.4738,-9.1056,-9.8102,-1.0248,-0.6266,-1.4865,0.1630,0.4095,0.0449,2.6150,3.3863,1.7699
AEGIS_360,0.9143,8.8443,8.9130,8.7030,0.3386,0.4905,0.2502,-9.2918,-9.0683,-9.4839,-1.4378,-1.0409,-1.7592,0.0564,0.1316,0.0180,2.8276,3.1869,2.0638
AEGIS_366,2.1883,10.3538,10.4400,10.2705,24.5726,36.6101,13.0845,-8.9452,-8.7189,-9.3225,-0.4119,-0.1282,-0.6443,0.5426,0.6799,0.4253,1.1101,1.4968,0.8031
AEGIS_370,0.8883,9.3583,9.4176,9.2930,0.7524,1.0999,0.5693,-9.4780,-9.2879,-9.6257,0.0993,0.1599,-0.0031,0.1157,0.2392,0.0416,4.1562,4.7520,3.7045
