# objname, z,  logstellar_mass_median, logstellar_mass_errup, logstellar_mass_errdown, sfr_100myr_median, sfr_100myr_errup, sfr_100myr_errdown, logssfr_100myr_median, logssfr_100myr_errup, logssfr_100myr_errdown, logzsol_median, logzsol_errup, logzsol_errdown, tau_dust_median, tau_dust_errup, tau_dust_errdown, avg_age_median, avg_age_errup, avg_age_errdown
COSMOS_33264,0.8265,8.8186,8.9358,8.6514,0.1571,0.3030,0.0671,-9.6336,-9.2730,-10.0502,-0.7898,-0.1150,-1.6186,0.3406,0.5509,0.1550,2.4343,3.1768,1.4828
COSMOS_33265,0.8168,9.3022,9.3840,9.1877,0.7936,1.5433,0.4360,-9.4140,-9.0043,-9.7401,-0.1357,-0.0168,-0.2571,0.4620,0.6253,0.3294,2.9888,3.4462,2.3769
COSMOS_33267,0.8925,9.4245,9.4847,9.3056,0.0189,0.4121,0.0008,-11.1854,-9.6944,-12.5489,-0.3996,-0.1416,-0.8294,0.4230,0.6445,0.1508,3.3313,3.7704,2.6107
COSMOS_33269,1.6485,9.1565,9.2670,9.0689,6.5110,7.3867,5.7106,-8.3358,-8.2110,-8.5154,-0.3940,-0.1869,-0.5392,0.1985,0.2488,0.1031,0.6298,0.9849,0.1380
COSMOS_33270,0.7286,10.9041,10.9312,10.8779,28.6028,32.9260,23.9841,-9.4465,-9.3746,-9.5354,-0.0383,0.0378,-0.1144,1.0403,1.1169,0.9458,3.9799,4.2877,3.5976
COSMOS_33274,2.1172,9.9452,10.0127,9.7947,3.5565,6.6656,2.3175,-9.4079,-9.0024,-9.6079,-1.3375,-0.8722,-1.6539,0.2926,0.4915,0.1869,1.7266,2.1069,1.2503
COSMOS_33277,1.5794,8.9858,9.1542,8.6882,1.1820,1.5418,0.9526,-8.9026,-8.5467,-9.1445,-0.9648,-0.3965,-1.4818,0.0289,0.0812,0.0080,1.6684,2.1065,0.7959
COSMOS_33278,0.8934,8.8693,8.9671,8.7716,0.1763,0.2869,0.1118,-9.6259,-9.3677,-9.8795,-1.0368,-0.5671,-1.5145,0.0828,0.2071,0.0230,2.7331,3.3705,1.9500
COSMOS_33280,0.6954,9.6041,9.6707,9.5644,1.2858,2.6899,0.7176,-9.4862,-9.2188,-9.7542,-0.1076,0.0682,-0.4753,0.2194,0.4856,0.0911,3.2696,4.2518,2.8820
COSMOS_33281,0.5259,8.6291,8.7385,8.4006,0.0576,0.2192,0.0198,-9.9190,-9.0826,-10.3470,-1.6563,-1.0494,-1.8911,0.1841,0.3402,0.0546,2.6251,3.7328,1.1189
COSMOS_33282,1.3572,9.2963,9.3839,9.2058,0.6579,0.8144,0.5420,-9.4691,-9.3182,-9.6299,0.0883,0.1582,-0.0173,0.0156,0.0469,0.0044,2.9489,3.4091,2.5684
COSMOS_33286,1.4566,8.8393,9.0047,8.7196,1.3627,1.8978,0.8983,-8.7022,-8.4541,-9.0555,-0.5195,-0.3332,-0.9366,0.0208,0.0556,0.0070,1.3346,1.9308,0.9079
COSMOS_33287,1.5098,10.5069,10.5491,10.4722,15.7185,18.7724,12.6558,-9.3124,-9.2146,-9.4237,-0.4612,-0.3172,-0.5804,0.6011,0.6824,0.5170,2.1222,2.2443,1.9902
COSMOS_33291,0.5039,11.5503,11.5660,11.5180,0.0541,0.1434,0.0023,-12.8060,-12.3897,-14.1819,-0.0328,0.0146,-0.1264,0.0191,0.0421,0.0057,7.6591,7.9820,7.0193
COSMOS_33298,0.8838,8.6661,8.7876,8.5265,0.1662,0.2759,0.0965,-9.4412,-9.1513,-9.7385,-1.1725,-0.7615,-1.6188,0.1890,0.3749,0.0555,2.5413,3.3131,1.5967
COSMOS_33303,0.5127,8.5848,8.6219,8.5280,0.0624,0.0877,0.0464,-9.7911,-9.5850,-9.9474,-0.1925,-0.0372,-0.2821,0.0491,0.1207,0.0172,5.1576,5.3872,4.8682
COSMOS_33304,1.0004,8.5555,8.7377,8.3562,0.6957,0.9915,0.4721,-8.6992,-8.3844,-9.0276,-0.0267,0.1270,-0.3768,0.2233,0.3367,0.1217,1.8086,2.6164,0.8868
COSMOS_33308,1.7670,9.5082,9.5730,9.3629,1.8302,6.4186,0.9752,-9.2749,-8.5611,-9.5467,-0.5304,-0.3520,-0.6903,0.0840,0.5079,0.0177,1.8189,1.9818,0.8212
COSMOS_33311,1.2259,9.1692,9.2995,9.0793,0.6384,0.8455,0.4637,-9.3766,-9.2412,-9.5400,-0.9776,-0.7580,-1.3317,0.0390,0.0993,0.0111,1.7629,2.5358,1.1937
COSMOS_33312,2.8956,10.1225,10.2714,9.9494,42.0567,55.9564,30.2123,-8.4805,-8.2294,-8.7588,-0.1724,0.0406,-0.4358,0.8841,1.0469,0.7277,0.6869,0.9876,0.3530
COSMOS_33313,1.3314,9.4598,9.5061,9.4080,1.0902,1.5118,0.8458,-9.4225,-9.2493,-9.5621,-0.1053,0.0388,-0.2935,0.0604,0.1667,0.0248,2.2855,2.5417,2.0843
COSMOS_33316,2.9923,10.1846,10.2797,10.0259,42.3898,63.7207,32.0257,-8.5638,-8.2170,-8.7667,-0.3453,-0.1089,-0.5607,0.2509,0.3481,0.1660,0.5906,0.8399,0.3070
COSMOS_33317,0.7023,8.8573,8.9764,8.5816,0.9815,1.3913,0.6430,-8.8773,-8.4431,-9.1512,-0.1663,0.0552,-0.6315,0.5425,0.6737,0.3555,2.1994,2.7697,0.9549
COSMOS_33318,0.8773,9.1464,9.2289,9.0415,2.5899,3.1224,2.1496,-8.7302,-8.5498,-8.8914,-0.0065,0.0954,-0.1056,0.1891,0.2317,0.1477,1.9032,2.2631,1.3787
COSMOS_33323,0.6570,8.8852,8.9593,8.7918,0.0883,0.1723,0.0386,-9.9410,-9.6109,-10.3203,-0.7190,-0.3101,-1.2477,0.7640,1.0189,0.4779,4.0575,4.6203,3.2714
COSMOS_33327,1.5013,10.3815,10.4165,10.3351,13.0474,20.4627,4.8058,-9.2778,-9.0425,-9.7058,-0.7298,-0.4226,-0.8937,0.7764,0.9073,0.3625,2.0346,2.2537,1.7491
COSMOS_33329,1.2445,8.8385,8.9128,8.7492,0.3314,0.5573,0.2346,-9.3248,-9.0466,-9.5016,-1.2651,-0.9625,-1.5469,0.0463,0.1226,0.0135,2.0059,2.3412,1.5519
COSMOS_33340,1.2268,10.6480,10.7331,10.5861,28.9692,35.6987,17.1797,-9.1846,-9.0519,-9.4754,-0.0966,0.0004,-0.2259,1.3943,1.5129,1.1254,2.0697,2.7380,1.4036
COSMOS_33343,0.7520,8.6208,8.8290,8.2471,0.2353,0.4583,0.0297,-9.2266,-8.5816,-10.3534,-0.6823,-0.2822,-1.4262,0.7827,1.0081,0.5249,2.8856,4.1395,1.4296
COSMOS_33351,0.9505,8.7183,8.8187,8.5935,0.1559,0.3451,0.0934,-9.5113,-9.0937,-9.8039,-0.2804,0.0090,-0.7493,0.2044,0.5766,0.0607,3.0542,3.7485,2.2696
COSMOS_33352,1.1766,8.8533,8.9462,8.7223,0.3158,0.4739,0.2366,-9.3638,-9.0827,-9.5196,-1.5902,-1.0822,-1.8622,0.0584,0.1490,0.0174,2.2471,2.8593,1.3591
COSMOS_33353,0.8279,8.3323,8.4558,8.1567,0.2155,0.3938,0.1456,-9.0087,-8.5892,-9.2387,-0.3968,-0.0671,-0.6771,0.0945,0.2533,0.0269,2.8129,3.5888,2.0554
COSMOS_33354,1.0387,9.2296,9.2748,9.0672,0.2952,0.7928,0.2025,-9.7139,-9.2259,-9.9506,-0.5991,-0.4341,-0.8340,0.1847,0.4940,0.1097,3.4236,3.6595,2.2324
COSMOS_33355,1.3205,9.0563,9.1516,8.9326,0.6708,0.9978,0.4555,-9.2449,-8.9616,-9.4561,-0.6590,-0.4403,-1.1709,0.1753,0.3215,0.0539,1.8388,2.2865,1.1128
COSMOS_33357,1.4341,8.3564,8.6314,7.9851,0.8197,1.0215,0.5828,-8.4329,-8.1352,-8.7026,-0.3954,-0.1525,-0.8421,0.0109,0.0256,0.0034,1.2364,1.9570,0.3583
COSMOS_33360,0.8707,8.7243,8.8423,8.6281,0.1359,0.2178,0.0878,-9.5992,-9.3854,-9.8141,-0.9970,-0.5564,-1.5833,0.1817,0.3448,0.0677,2.7449,3.3651,1.9978
COSMOS_33361,1.4141,9.5377,9.6584,9.3819,3.0489,6.0572,1.7188,-9.0523,-8.6089,-9.3918,-0.2916,-0.0569,-0.5527,0.2380,0.4428,0.1366,1.6544,2.2902,0.7945
COSMOS_33373,0.5172,8.4483,8.5209,8.3766,0.0042,0.0117,0.0008,-10.8332,-10.3683,-11.5369,-0.8830,-0.5685,-1.2622,0.1915,0.3936,0.0608,4.6781,5.5358,3.9497
