id,ra,dec,r_e,r_mag
10995415891580510,334.0164200684941,-7.913617329588269,0.51049924,20.385353
10995415891580528,334.0172055294415,-7.912399036260708,0.22094311,23.85085
10995415891580522,334.0170929026659,-7.910726376122932,0.46962202,23.111647
10995415891580568,334.018804305721,-7.909386669728841,0.34026554,23.373648
10995415891580287,334.0075270281061,-7.907928855018775,0.2687194,21.35383
10995415891580264,334.0062785333772,-7.90538578916595,0.4451506,23.29111
10995415891580281,334.0072372241258,-7.905256712416152,0.28828624,24.39642
10995415891580217,334.0047317718544,-7.896796985887639,0.77033556,23.18276
10995415891580249,334.0058267740081,-7.897265313912635,0.5970275,20.873713
10995415891580309,334.0084005282402,-7.896502156406743,0.40542912,24.705036
10995415891580414,334.0125879184345,-7.905031073501897,0.2734434,23.864353
10995415891580439,334.0134969056176,-7.903039359579663,0.34038883,24.659046
10995415891580483,334.0154787540259,-7.906537568410895,0.24910139,24.474133
10995415891580519,334.0166301484285,-7.905719390488169,0.3259076,24.44134
10995415891580455,334.0143028563107,-7.903543050359006,0.7278092,24.556906
10995415891580584,334.0194438924589,-7.904349952907658,0.86816174,20.664427
10995415891580592,334.0196233983205,-7.903334256162614,0.24479948,23.624924
10995415891580316,334.0085712085503,-7.897776092602025,0.22220299,24.172405
10995415891580374,334.0106666819654,-7.897940064649125,0.4720138,23.049965
10995415891580315,334.0085666238793,-7.89608112033908,1.0197258,21.2479
10995415891580479,334.0153252940066,-7.901656556668365,0.3550535,24.650082
10995415891580587,334.0194960779921,-7.899133149185396,2.5300612,21.77465
10995415891580681,334.0235242142934,-7.91405419502818,1.1659697,23.196327
10995415891580710,334.0246220888522,-7.905240027024642,0.24659483,23.877333
10995415891580668,334.0229872735347,-7.904245113982149,0.85514003,21.825785
10995415891580736,334.0256661170314,-7.905959656410131,0.7587524,24.55561
10995415891580638,334.0214127038515,-7.901816666660902,0.7904831,23.109983
10995415891580610,334.0204057831204,-7.898868105265814,1.5951252,17.557713
10995415891580635,334.0213819496134,-7.89837357240661,2.527164,21.35169
10995415891580823,334.0283242190793,-7.902399126211686,0.7987294,21.40495
10995415891580933,334.0327972556991,-7.904265457679771,0.75202537,21.256481
10995415891580915,334.0321263885506,-7.899351590580809,0.7985764,23.063675
10995415891580304,334.0081663684664,-7.887908883405216,0.6889713,22.636189
10995415891580339,334.0092661541536,-7.893316683466467,0.3376143,23.128668
10995415891580400,334.0121622736665,-7.895885268346148,0.23446408,22.313559
10995415891580438,334.0134801440395,-7.893667313192823,1.5893204,20.394236
10995415891580566,334.0187583552826,-7.89597900112215,0.35328242,23.02593
10995415891580399,334.012115150338,-7.888338474188357,0.8675005,21.708973
10995415891580392,334.0117572489359,-7.886376785141909,0.41194826,23.622349
10995415891580385,334.0113778569786,-7.886078874362055,0.2277236,22.150492
10995415891580406,334.0124151764873,-7.886111143382546,1.6936998,19.426579
10995415891580567,334.018763429713,-7.89048989290781,0.9529672,23.28759
10995415891580747,334.025851937355,-7.896480194416192,0.4697523,23.37993
10995415891580767,334.02645559403,-7.895958466298343,0.27336174,24.420712
10995415891580701,334.0241034707096,-7.889646424696386,0.4625668,24.673124
10995415891580796,334.0271438326597,-7.885066657329586,0.32088983,23.25812
10995415891580623,334.0209708875659,-7.883400222637503,0.6007987,24.492193
