# objname, z, logm_median, logm_errup, logm_errdown, logsfr_median, logsfr_errup, logsfr_errdown, fagn_median, fagn_errup, fagn_errdown, fmir_median, fmir_errup, fmir_errdown, ssfr_100_median, ssfr_100_errup, ssfr_100_errdown, massmet_2_median, massmet_2_errup, massmet_2_errdown, dust2_median, dust2_errup, dust2_errdown, avg_age_median, avg_age_errup, avg_age_errdown 
438350,0.108,9.363,9.403,9.324,-0.971,-0.816,-1.167,0.002,0.016,0.000,0.052,0.307,0.003,-10.338,-10.162,-10.542,-0.565,-0.434,-0.695,0.086,0.129,0.054,5.347,5.950,4.674
438407,0.677,9.726,9.792,9.666,0.199,0.429,0.025,0.000,0.006,0.000,0.005,0.068,0.001,-9.522,-9.276,-9.748,-0.224,-0.022,-0.604,0.280,0.359,0.176,2.152,2.626,1.629
438411,0.658,9.633,9.709,9.560,-0.067,0.075,-0.202,0.000,0.006,0.000,0.005,0.062,0.000,-9.713,-9.526,-9.873,-0.821,-0.530,-1.113,0.317,0.447,0.179,3.460,3.963,2.901
438447,0.309,10.422,10.452,10.392,0.368,0.493,0.239,0.033,0.071,0.006,0.244,0.388,0.071,-10.061,-9.924,-10.185,-0.225,-0.115,-0.358,0.575,0.660,0.500,5.823,6.532,5.313
438488,0.718,9.291,9.532,9.253,0.921,0.980,0.784,0.040,0.071,0.024,0.203,0.327,0.136,-8.374,-8.287,-8.786,-0.810,-0.738,-0.892,0.683,0.719,0.625,1.560,2.481,1.225
438496,0.790,9.599,9.732,9.500,1.008,1.072,0.803,0.000,0.001,0.000,0.005,0.014,0.001,-8.613,-8.455,-8.951,-0.732,-0.610,-0.823,0.276,0.370,0.138,1.941,2.878,1.163
438527,0.435,9.526,9.593,9.469,-0.426,-0.311,-0.557,0.003,0.021,0.000,0.045,0.283,0.003,-9.964,-9.838,-10.083,-1.070,-0.861,-1.342,0.142,0.232,0.074,4.361,4.931,3.781
438529,0.452,9.544,9.559,9.464,-3.168,-2.341,-5.531,0.000,0.003,0.000,0.010,0.068,0.001,-12.695,-11.851,-15.066,-1.947,-1.905,-1.970,0.228,0.292,0.198,8.284,8.348,6.346
438552,0.621,9.716,9.739,9.688,-0.292,-0.198,-0.394,0.000,0.001,0.000,0.006,0.033,0.001,-10.004,-9.914,-10.101,-1.953,-1.920,-1.971,0.009,0.022,0.003,3.439,3.711,3.106
438559,0.421,9.207,9.265,9.128,-0.751,-0.625,-0.904,0.001,0.007,0.000,0.016,0.112,0.002,-9.957,-9.784,-10.138,-1.336,-1.125,-1.568,0.103,0.155,0.063,4.224,4.797,3.449
438560,0.224,9.271,9.312,9.227,-1.060,-0.921,-1.194,0.003,0.016,0.000,0.062,0.316,0.002,-10.325,-10.173,-10.473,-0.706,-0.583,-0.828,0.071,0.125,0.026,5.764,6.397,5.162
