,wavelen,flux,flux_unc,mask
0,3000.0,0.0,0.0,False
1,3000.8,0.0,0.0,False
2,3001.6000000000004,0.0,0.0,False
3,3002.4000000000005,0.0,0.0,False
4,3003.2000000000007,0.0,0.0,False
5,3004.000000000001,0.0,0.0,False
6,3004.800000000001,0.0,0.0,False
7,3005.6000000000013,0.0,0.0,False
8,3006.4000000000015,0.0,0.0,False
9,3007.2000000000016,0.0,0.0,False
10,3008.000000000002,0.0,0.0,False
11,3008.800000000002,0.0,0.0,False
12,3009.600000000002,0.0,0.0,False
13,3010.4000000000024,0.0,0.0,False
14,3011.2000000000025,0.0,0.0,False
15,3012.0000000000027,0.0,0.0,False
16,3012.800000000003,0.0,0.0,False
17,3013.600000000003,0.0,0.0,False
18,3014.4000000000033,0.0,0.0,False
19,3015.2000000000035,0.0,0.0,False
20,3016.0000000000036,0.0,0.0,False
21,3016.800000000004,0.0,0.0,False
22,3017.600000000004,0.0,0.0,False
23,3018.400000000004,0.0,0.0,False
24,3019.2000000000044,0.0,0.0,False
25,3020.0000000000045,0.0,0.0,False
26,3020.8000000000047,0.0,0.0,False
27,3021.600000000005,0.0,0.0,False
28,3022.400000000005,0.0,0.0,False
29,3023.2000000000053,0.0,0.0,False
30,3024.0000000000055,0.0,0.0,False
31,3024.8000000000056,0.0,0.0,False
32,3025.600000000006,0.0,0.0,False
33,3026.400000000006,0.0,0.0,False
34,3027.200000000006,0.0,0.0,False
35,3028.0000000000064,0.0,0.0,False
36,3028.8000000000065,0.0,0.0,False
37,3029.6000000000067,0.0,0.0,False
38,3030.400000000007,0.0,0.0,False
39,3031.200000000007,0.0,0.0,False
40,3032.0000000000073,0.0,0.0,False
41,3032.8000000000075,0.0,0.0,False
42,3033.6000000000076,0.0,0.0,False
43,3034.400000000008,0.0,0.0,False
44,3035.200000000008,0.0,0.0,False
45,3036.000000000008,0.0,0.0,False
46,3036.8000000000084,0.0,0.0,False
47,3037.6000000000085,0.0,0.0,False
48,3038.4000000000087,0.0,0.0,False
49,3039.200000000009,0.0,0.0,False
50,3040.000000000009,0.0,0.0,False
51,3040.8000000000093,0.0,0.0,False
52,3041.6000000000095,0.0,0.0,False
53,3042.4000000000096,0.0,0.0,False
54,3043.20000000001,0.0,0.0,False
55,3044.00000000001,0.0,0.0,False
56,3044.80000000001,0.0,0.0,False
57,3045.6000000000104,0.0,0.0,False
58,3046.4000000000106,0.0,0.0,False
59,3047.2000000000107,0.0,0.0,False
60,3048.000000000011,0.0,0.0,False
61,3048.800000000011,0.0,0.0,False
62,3049.6000000000113,0.0,0.0,False
